# BATCH 4: Activities 151-200
# Total: 48 activities

151. Self-Guided Architecture Audio Walk (Old Town) - Bucharest, București - learning
152. Full-Day Thermal & Sauna at Therme București - Balotești, Ilfov - wellness
153. Thai Massage & Aromatherapy (THAIco Spa Dorobanți) - Bucharest, București - wellness
154. Orchid Thai Spa – Aromatherapy Ritual - Bucharest, București - wellness
155. Ana Spa Daypass at Crowne Plaza - Bucharest, București - wellness
156. Halotherapy Day at Slănic Prahova Salt Mine - Slănic, Prahova - wellness
157. Quick Reset: Cișmigiu Gardens Quiet Loop & Bench 7 - Bucharest, București - nature
158. Quick Reset: Carol Park Mausoleum Viewpoint Bench - Bucharest, București - nature
159. Quick Reset: Botanical Garden Rosarium Loop - Bucharest, București - nature
160. Quick Reset: Kiseleff Shaded Boulevard Benches - Bucharest, București - nature
161. Quick Reset: Titan (A.I. Cuza) Lakeside – Insula Artelor - Bucharest, București - nature
162. Quick Reset Café: Steam Coffee Shop Victoriei - Bucharest, București - culinary
164. Quick Reset Café: FRUDISIAC - Bucharest, bucurești - culinary
165. Quick Reset Café: TROFIC (City Center) - Bucharest, București - culinary
166. Micro-Visit: MNAR European Gallery (1 Room) - Bucharest, București - creative
167. Micro-Visit: Museum of Maps – 1 Gallery - Bucharest, București - creative
168. Micro-Visit: Antipa – One Hall Only (Coral & Fish) - Bucharest, București - learning
169. Pottery Workshop (Urban Crafts/Extasy) - Bucharest, București - creative
170. Painting Class at Atelier Pastel (Dorobanți) - Bucharest, București - creative
171. Modern Calligraphy – Fundația Calea Victoriei - Bucharest, București - creative
172. Embroidery & Traditional Motifs – FCV - Bucharest, București - creative
173. Sewing Basics – Atelierele ILBAH - Bucharest, București - creative
174. Halotherapy in urban salt rooms - Bucharest, București - wellness
175. Aromatherapy & natural perfume workshop - Bucharest, București - wellness
176. Sound bath with gongs & bowls - Bucharest, București - mindfulness
177. Guided meditation session - Bucharest, București - mindfulness
178. Breathwork fundamentals (Wim Hof/box/paced) - Bucharest, București - mindfulness
179. Quick reset: Saint Roastery coffee stop - Bucharest, București - culinary
180. Quick reset: Two Minutes Coffee Shop - Bucharest, București - culinary
181. Quick reset: BOB Coffee Lab (Charles de Gaulle) - Bucharest, București - culinary
182. Quick reset: Throwback Dorobanți - Bucharest, București - culinary
183. Micro-visit: Zambaccian Museum (one-gallery focus) - Bucharest, București - creative
184. Micro-visit: Theodor Aman Museum - Bucharest, București - creative
185. Quiet bench: Parcul Circului (Lotus Lake) - Bucharest, București - nature
186. Quiet bench: Grădina Icoanei - Bucharest, București - nature
187. Photo spot & sit: Izvor Park Parliament view - Bucharest, București - nature
188. Mini-walk & overlook: Tineretului Park - Bucharest, București - nature
189. Botanical Garden: Palmhouse & remedy garden loop - Bucharest, București - nature
190. Pottery basics: hand-building & glazing - Bucharest, București - creative
191. Wheel-throwing taster at CUBUL - Bucharest, București - creative
192. Evening acrylic painting class (Rodia Art Studio) - Bucharest, bucurești - creative
193. Paint-your-own pottery (MadeByYou) - Bucharest, București - creative
194. Calligraphy & lettering workshop - Bucharest, București - creative
195. Knitting & crochet at a textile atelier - Bucharest, București - creative
196. Wellness visit: Salina Turda (salt mine) - Turda, Cluj - wellness
198. Basketball Court Booking (Full Court Run) - Bucharest, București - sports
199. Indoor Volleyball Session - Bucharest, București - sports
200. Boxing Gym Session (Pads & Bag) - Bucharest, București - sports
