ID,Name_EN,Name_RO,Category,Energy_Level
1,"Therme București Wellness Day","Zi de Wellness la Therme București",wellness,medium
2,"Peleș Castle Guided Visit","Vizită Ghidată la Castelul Peleș",culture,low
3,"Bran Castle (Dracula's Castle) Visit","Vizită la Castelul Bran (Castelul Dracula)",culture,medium
4,"Brașov Old Town Walking Tour","Tur Pietonal prin Centrul Vechi al Brașovului",culture,medium
5,"Skiing in Poiana Brașov","Schi în Poiana Brașov",sports,high
6,"Danube Delta Boat Safari from Tulcea","Safari cu Barca în Delta Dunării de la Tulcea",nature,medium
7,"Wine Tasting in Dealu Mare","Degustare de Vin în Dealu Mare",culinary,low
8,"Transfăgărășan Scenic Day Tour","Tur Scenic pe Transfăgărășan",adventure,medium
9,"Turda Salt Mine Underground Park","Parcul Subteran Salina Turda",culture,medium
10,"Dimitrie Gusti National Village Museum","Muzeul Național al Satului Dimitrie Gusti",culture,low
11,"Bucovina Painted Monasteries Tour","Turul Mănăstirilor Pictate din Bucovina",culture,medium
12,"Bear Watching from a Hide (Brașov)","Observarea Urșilor din Ascunzătoare (Brașov)",nature,medium
13,"Parc Aventura Brașov Zipline & Ropes","Parc Aventura Brașov - Zipline și Trasee cu Frânghii",adventure,high
14,"Black Sea Sea-Kayaking (Mangalia)","Caiac pe Marea Neagră (Mangalia)",water,medium
15,"Electronic Club Night in Bucharest","Seară la Club Electronic în București",nightlife,high
16,"Cluj Live Music & Club Night","Muzică Live și Club Noaptea în Cluj",nightlife,high
17,"Timisoara Club Night","Seară de Club în Timișoara",nightlife,high
18,"Iași Night Out (Bars & Clubs)","Ieșire Nocturnă în Iași (Baruri & Cluburi)",nightlife,high
19,"Bucharest Escape Room Challenge","Provocarea Camerei de Evadare în București",social,medium
20,"Cluj Escape Room Adventure","Aventură în Camera de Evadare din Cluj",social,medium
21,"Bucharest Yoga Class (Vinyasa/Hatha)","Clasă de Yoga la București (Vinyasa/Hatha)",fitness,low
22,"CrossFit Session in Cluj","Sesiune CrossFit în Cluj",fitness,high
23,"CrossFit Session in Bucharest","Sesiune CrossFit în București",fitness,high
24,"Oradea Thermal Aqua Day (Aquaparks)","Zi Termală Aqua în Oradea (Aquaparks)",wellness,medium
25,"Sovata Bear Lake & Spa Day","Zi la Lacul Ursu și Spa în Sovata",wellness,low
26,"Balvanyos Forest Spa Ritual","Ritual Spa în Pădurea Bálványos",wellness,low
27,"Black Sea Coastal Kayaking Coaching","Instruire Caiac de Mare pe Coasta Mării Negre",water,medium
28,"Wakeboarding Session near Bucharest","Sesiune de Wakeboarding lângă București",water,high
29,"Intro to Golf in Transylvania","Introducere în Golf în Transilvania",sports,medium
30,"Romantic Boat Ride on Herăstrău Lake","Plimbare Romantică cu Barca pe Lacul Herăstrău",romance,low
31,"Hot Air Balloon Flight near Cluj","Zbor cu Balonul cu Aer Cald lângă Cluj",romance,low
32,"Christmas Market Sibiu (Piața Mare)","Târgul de Crăciun Sibiu (Piața Mare)",seasonal,low
33,"Christmas Market Cluj-Napoca (Piața Unirii)","Târgul de Crăciun Cluj-Napoca (Piața Unirii)",seasonal,low
34,"Christmas Market Bucharest (Constitution Square)","Târgul de Crăciun București (Piața Constituției)",seasonal,low
35,"Christmas Market Timișoara (Victory Square)","Târgul de Crăciun Timișoara (Piața Victoriei)",seasonal,low
36,"Bucharest Traditional Food Tour","Tur Gastronomic Tradițional București",culinary,medium
37,"Romanian Cooking Class in Bucharest","Clasă de Gătit Românesc în București",culinary,medium
38,"Cluj-Napoca Street Food & Market Tasting","Tur de Street Food & Piață în Cluj-Napoca",culinary,medium
39,"Sibiu Old Town Food Tour","Tur Gastronomic în Centrul Vechi Sibiu",culinary,low
40,"Timișoara Craft Beer Tasting Crawl","Tur de Degustare Beer Craft Timișoara",culinary,medium
41,"Gramma Winery Visit & Tasting (Iași)","Vizită și Degustare la Crama Gramma (Iași)",culinary,low
42,"Domeniul Bogdan Organic Winery Tour","Tur la Domeniul Bogdan Crama Ecologică",culinary,low
43,"Dealu Mare Winery Trio (Lacerta/Serve/Budureasca)","Trio Degustări Dealu Mare (Lacerta/Serve/Budureasca)",culinary,medium
44,"Constanța Seafood Tasting Experience","Experiență de Degustare Fructe de Mare la Constanța",culinary,low
45,"Improvisation Theatre Workshop (Bucharest)","Atelier de Teatru de Improvizație (București)",creative,medium
46,"Salsa/Bachata Beginner Class (Bucharest)","Clasă pentru Începători de Salsa/Bachata (București)",creative,medium
47,"Cyanotype & Alternative Photography Workshop","Atelier de Cianotipie și Fotografie Alternativă",creative,low
48,"Screen Printing Basics (Bucharest)","Bazele Serigrafiei (București)",creative,medium
49,"Icon on Glass Workshop (ASTRA Museum)","Atelier de Pictură Icoane pe Sticlă (Muzeul ASTRA)",creative,low
50,"Weaving on the Loom (ASTRA Museum)","Țesut la Război (Muzeul ASTRA)",creative,low
51,"Romanian Language Crash Course (Bucharest)","Curs Intensiv de Limbă Română (București)",learning,medium
52,"Specialty Coffee Brewing Class (Bucharest)","Curs de Preparare a Cafelei Specialitate (București)",learning,medium
53,"Barista Basics Workshop (Cluj)","Atelier de Bază pentru Barista (Cluj)",learning,medium
54,"Sibiu Traditional Cooking Class","Clasă de Gătit Tradițional Sibiu",learning,medium
55,"Intro to Romanian Wine (Bucharest)","Introducere în Vinurile Românești (București)",learning,low
56,"Sound Bath & Breathwork (Bucharest)","Baie Sonoră și Respirație Conștientă (București)",mindfulness,low
57,"Halotherapy & Mindful Walk – Turda Salt Mine","Haloterapie și Plimbare Conștientă – Salina Turda",mindfulness,low
58,"Salt Mine Wellness Session – Praid","Sesiune de Wellness în Mina de Sare – Praid",mindfulness,low
59,"Therme Sauna Rituals & Mindful Heat","Ritual de Saună Therme și Căldură Conștientă",mindfulness,low
60,"Ana Aslan Health Spa Day – Eforie Nord","Zi de Sănătate la Centrul Ana Aslan – Eforie Nord",wellness,low
61,"Aqvatonic Med Spa Pass – Eforie Nord","Abonament Aqvatonic Med Spa – Eforie Nord",wellness,medium
