id,name,category,energy_level,venues,image_url_1,image_url_2,image_url_3,image_url_4,image_url_5
940,"Adventure Park Brașov Mega Zip & Ropes","adventure","high","Parc Aventura Brașov (Brașov 500312)",,,,,
225,"ATV/Quad Biking (Cernica Forest)","adventure","high","ATV Extreme Rent (Cernica)",,,,,
223,"Bungee Jump (Râșnoavei Gorge)","adventure","high","Jump Adventure — Bungee (Râșnov)",,,,,
939,"Cheile Râșnoavei Bungee Jump","adventure","high","Jump Adventure – Cheile Râșnoavei (Râșnov)",,,,,
802,"Cluj Tandem Paragliding at Feleacu","adventure","high","Skyrush Paragliding (Feleacu)",,,,,
78,"Comana Adventure Park & Kayak","adventure","medium","Parc Aventura Comana (Comana) | Parc Aventura Comana (Comana)",,,,,
322,"Downhill & Enduro Runs (Postăvaru Bike Park)","adventure","high","Postăvaru Bike Park (Lift Access) (Poiana Brașov)",,,,,
77,"Edenland Park Zipline & Aerial Courses","adventure","high","Edenland Park (Balotești) | Edenland Park (Balotești)",,,,,
751,"First-Time Caving – Apuseni Mountains (Guided)","adventure","high","Carpathian Travel Center – Caving Office (Brașov/Bihor)",,,,,
91,"Go-Karting: VMAX (Indoor) or AMCKart (Outdoor)","adventure","high","VMAX Karting Romexpo (Bucharest) | AMCKart Tunari (Tunari)",,,,,
800,"Guided Canyoning in Valea lui Stan (Vidraru)","adventure","high","Vertical Adventure (Valea lui Stan Tours) (Arefu)",,,,,
220,"Guided Hike — Omu Peak (Bucegi)","adventure","high","MountainGuide — Omu (Bucegi)",,,,,
217,"Guided Mountain Biking — Postăvarul Peak","adventure","high","Massif Experience (Guides) (Brașov)",,,,,
317,"High Ropes & Mega Ziplines (Parc Aventura Brașov)","adventure","high","Parc Aventura Brașov (Brașov)",,,,,
797,"High Ropes & Mega Ziplines at Adrenalin Park","adventure","high","Adrenalin Park (Casele Micești)",,,,,
92,"Indoor Climbing Session (Top-rope & Bouldering)","adventure","medium","Vertical Spirit (Baicului) (Bucharest)",,,,,
218,"Outdoor Rock Climbing Day","adventure","high","Vertical Spirit (Outdoor Trips) (Bucharest)",,,,,
226,"Paintball Skirmish (Woodland Maps)","adventure","high","Edenland Park — Paintball (Balotești)",,,,,
224,"Paragliding Tandem (Bunloc)","adventure","high","Paragliding Brașov — Bunloc (Săcele)",,,,,
743,"Paragliding Tandem Flight – Bunloc Take-off (Brașov)","adventure","high","Paramania Paragliding – Bunloc Take-off (Săcele/Brașov)",,,,,
13,"Parc Aventura Brașov Zipline & Ropes","adventure","high","Parc Aventura Brașov (Brașov)",,,,,
750,"Rock Ridge Climb – Acele Morarului (Bucegi)","adventure","high","Explore-Share – Bucegi Climbing Meetup (Bușteni)",,,,,
742,"Seven Ladders Canyon Tyrolean Zipline (Dâmbul Morii)","adventure","high","Seven Ladders Canyon Zipline Office (Dâmbul Morii)",,,,,
942,"Seven Ladders Canyon Via Ferrata Sprint","adventure","high","Canionul 7 Scări (Official) (Timișu de Jos)",,,,,
941,"Tandem Paragliding Clopotiva (Retezat)","adventure","high","SkyRush Paragliding – Clopotiva (Clopotiva)",,,,,
744,"Tandem Skydive – Tuzla Aerodrome (Black Sea)","adventure","high","Regional Air Services – Tuzla Aerodrome (Str. Aeroportului 1)",,,,,
315,"Tandem Skydive at Clinceni (TNT Brothers)","adventure","high","TNT Brothers Clinceni Dropzone (Cornetu)",,,,,
937,"Tandem Skydive Luncani (Skydive Transilvania)","adventure","high","Skydive Transilvania (Luncani 407362)",,,,,
936,"Tandem Skydive over the Black Sea (Tuzla)","adventure","high","Regional Air Services – Tuzla Airport (Tuzla)",,,,,
938,"Tandem Skydive Timișoara (GoJump LRSG)","adventure","high","GoJump – Timișoara Parachute Club (Sânmihaiu German 307381)",,,,,
79,"Tandem Skydiving at Clinceni Airfield","adventure","high","TNT Brothers – Clinceni DZ (Clinceni) | TNT Brothers – Clinceni DZ (Clinceni)",,,,,
794,"Tandem Skydiving over Cluj with Skydive Transilvania","adventure","high","Skydive Transilvania (Luncani)",,,,,
221,"Trail Running Clinic (Brașov)","adventure","high","TrailRunning Academy (Brașov)",,,,,
8,"Transfăgărășan Scenic Day Tour","adventure","medium","Cabana Bâlea Lac (Bâlea Lac)",,,,,
219,"Via Ferrata “Casa Zmeului”","adventure","high","Via Ferrata Vadu Crișului (Sat Vadu Crișului)",,,,,
740,"Via Ferrata Casa Zmeului – Vadu Crișului","adventure","high","Rafting & Via Ferrata Base (Vadu Crișului) (Vadu Crișului)",,,,,
320,"Via Ferrata Casa Zmeului (Vadu Crișului)","adventure","high","Via Ferrata Casa Zmeului Access (Vadu Crișului)",,,,,
321,"Via Ferrata Hili's Cave (Cheile Turzii)","adventure","high","Via Ferrata Hili's Cave Guide Meeting Point (Cheia)",,,,,
741,"Via Ferrata Pietrele Negre – Vârtop (Apuseni)","adventure","high","Extasy/Local Guides – Pietrele Negre (Vârtop)",,,,,
799,"Via Ferrata Wild Ferenc in Bicaz Gorges","adventure","high","Via Ferrata Wild Ferenc (Access via Cheile Bicazului) (Lacu Roșu)",,,,,
798,"Zipline & Rope Courses at Comana Adventure Park","adventure","high","Parc de Aventură Comana (Comana)",,,,,
1224,"Adult Ceramics Starter (Școala Populară de Arte Cluj)","creative","medium","Școala Populară de Arte „Tudor Jarda,Str. Fabricii de Zahăr 51,Cluj-Napoca,Cluj,46.7877,23.6385,https://www.scoaladearte.ro/,https://www.scoaladearte.ro/,+40 264 592 414,$$,all,County arts school offering adult ceramics and fine-arts evening classes in small groups.,provided,booking-required,solo (Cluj-Napoca)",,,,,
1219,"Botanical Watercolor with Irina Neacșu","creative","medium","Irina Neacșu Studio (Brașov)",,,,,
194,"Calligraphy & lettering workshop","creative","low","N/A",,,,,
110,"Candle-Making Workshop (Bucharest)","creative","low","Odyssée Candles – The Fragrant Garden (Bucharest)",,,,,
1121,"Ceramics Hand-Building (Alimeria Ceramics)","creative","medium","Alimeria Ceramics (Timișoara)",,,,,
98,"Contemporary Jewelry Making (Assamblage Institute)","creative","medium","Assamblage – Institutul de Artă și Design (Bucharest)",,,,,
47,"Cyanotype & Alternative Photography Workshop","creative","low","Muzeul Național de Artă Contemporană (MNAC București) (Bucharest)",,,,,
