ID,Name_EN,Name_RO,Category,Energy_Level
1,Therme București Wellness Day,Zi de Wellness la Therme București,wellness,medium
2,Peleș Castle Guided Visit,Vizită Ghidată la Castelul Peleș,culture,low
3,Bran Castle (Dracula's Castle) Visit,Vizită la Castelul Bran (Castelul Dracula),culture,medium
4,Brașov Old Town Walking Tour,Tur Pietonal prin Centrul Vechi al Brașovului,culture,medium
5,Skiing in Poiana Brașov,Schi în Poiana Brașov,sports,high
6,Danube Delta Boat Safari from Tulcea,Safari cu Barca în Delta Dunării de la Tulcea,nature,medium
7,Wine Tasting in Dealu Mare,Degustare de Vin în Dealu Mare,culinary,low
8,Transfăgărășan Scenic Day Tour,Tur Scenic pe Transfăgărășan,adventure,medium
9,Turda Salt Mine Underground Park,Parcul Subteran Salina Turda,culture,medium
10,Dimitrie Gusti National Village Museum,Muzeul Național al Satului Dimitrie Gusti,culture,low
