# BATCH 3: Activities 101-150
# Total: 43 activities

103. Specialty Coffee Cupping & Barista Basics - Bucharest, București - culinary
104. Mixology & Cocktail Fundamentals (Exquisite Bar Solutions) - Bucharest, București - culinary
105. Sourdough & Pastry Fundamentals (Horeca Culinary School) - Bucharest, București - culinary
106. Homebakers by Grain Trip (Bread & Viennoiserie) - Bucharest, București - culinary
107. Bucharest Trivia Night at a Craft Beer Bar - Bucharest, Bucharest - social
109. Pottery Wheel Taster (Bucharest) - Bucharest, Bucharest - creative
110. Candle-Making Workshop (Bucharest) - Bucharest, Bucharest - creative
113. Sunset Picnic in Herăstrău Park - Bucharest, Bucharest - romance
114. Rooftop Dinner with City Views (Bucharest) - Bucharest, Bucharest - romance
115. Private Cooking Class for Two (Bucharest) - Bucharest, Bucharest - romance
116. Stargazing Night near Bucharest - Snagov, Ilfov - romance
117. Bucharest Ghost Tour (Old Town) - Bucharest, Bucharest - culture
118. Bucharest Food Market Tour (Obor/Dorobanți) - Bucharest, Bucharest - culinary
119. Bucharest Vintage Shopping Tour - Bucharest, Bucharest - culture
120. Bucharest Architectural Walking Tour - Bucharest, Bucharest - culture
121. Bucharest Communist History Tour - Bucharest, Bucharest - culture
122. Bucharest Jewish Heritage Tour - Bucharest, Bucharest - culture
123. Photography Fundamentals (Academia F64) - Bucharest, București - learning
124. Intro to 3D Printing & Rapid Prototyping (NOD) - Bucharest, București - learning
125. Intro to Programming (Școala Informală de IT) - Bucharest, București - learning
126. Pilates Class (Bucharest) - Bucharest, Bucharest - fitness
129. Pottery Wheel Throwing for Beginners (Clay Play) - Bucharest, București - creative
130. Hand-Building Ceramics Workshop (ArtTime Atelier) - Bucharest, București - creative
131. Cyanotype & Screen Printing Lab (Allkimik) - Bucharest, București - creative
132. Painting & Drawing Class (Art & Hobby Studio) - Bucharest, București - creative
133. Chocolate Tasting Foundations (Artisan HUB events) - Bucharest, București - culinary
134. Old Town Street Food Tour (Small Group) - Bucharest, București - culinary
135. Urban Hammam & Thermal Circuit (Orhideea Spa) - Bucharest, București - wellness
136. Shiseido Spa Rituals at Stejarii Country Club - Bucharest, București - wellness
137. Float Therapy Session (Sensory Deprivation) - Bucharest, București - mindfulness
138. Gong & Sound Bath (The Inner) - Bucharest, București - mindfulness
139. Intro to Raja Yoga Meditation (Brahma Kumaris) - Bucharest, București - mindfulness
140. Tai Chi & Qigong Classes (Taijidao) - Bucharest, București - mindfulness
141. Quick Reset: Aesthetic Coffee Spots (15–30 min) - Bucharest, București - social
142. Quick Reset: Bookstore Browsing at Cărturești - Bucharest, București - creative
143. Quick Reset: MNAC Rooftop Terrace View - Bucharest, București - creative
144. Quick Reset: Macca–Vilacrosse Passage Stroll - Bucharest, București - creative
145. Japanese Garden Stroll (King Michael I Park) - Bucharest, București - nature
146. Urban Nature Walk & Birdwatching (Văcărești) - Bucharest, București - nature
147. Arthouse Cinema Session (Elvire Popesco) - Bucharest, București - social
148. Classic Film at Cinemateca Eforie - Bucharest, București - learning
149. Tea Tasting & Ceremony (Cotroceni Teahouses) - Bucharest, București - culinary
150. Express Beauty Reset (GETT'S Color Bar – malls) - Bucharest, București - wellness
