slug,name,category,subtypes,description,city,region,latitude,longitude,duration_min,duration_max,seasonality,indoor_outdoor,energy_level,tags_experience_level,tags_mood,tags_terrain,tags_equipment,tags_context,tags_requirement,tags_risk_level,tags_weather_fit,tags_time_of_day,tags_travel_time_band,tags_skills,tags_cost_band,hero_image_url,source_url,notes
pottery-wheel-bucharest-clayplay,Pottery Wheel Throwing for Beginners (Clay Play),creative,"pottery,wheel_throwing","Learn centering, pulling and shaping on the wheel, then trim and glaze your own cup or bowl over two sessions. Friendly tutors, small groups and all materials included make this a calming, hands-on creative reset minutes from central Bucharest.",Bucharest,București,44.4210,26.0920,120,180,all,indoor,low,beginner,"creative,relaxed,cozy","urban",provided,"solo,small-group","booking-required,lesson-recommended",low,all_weather,daytime,in-city,technique,$$,,https://www.tripadvisor.com/Attraction_Review-g294458-d17662110-Reviews-Clay_Play-Bucharest.html,"Address on site; sessions listed. (Check current schedule.)"
ceramics-handbuilding-bucharest-arttime,Hand-Building Ceramics Workshop (ArtTime Atelier),creative,"ceramics,hand_building","Pinch, coil and slab techniques to craft a mug or planter; learn surface decoration and glazing basics. Ideal for first-timers seeking a mindful, tactile session without the wheel.",Bucharest,București,44.4375,26.1220,120,180,all,indoor,low,beginner,"creative,mindful,cozy","urban",provided,"solo,small-group","booking-required,lesson-recommended",low,all_weather,daytime,in-city,technique,$$,,https://arttimeatelier.ro/ateliere,Course page lists workshops & contact
jewelry-making-bucharest-assamblage,Contemporary Jewelry Making (Assamblage Institute),creative,"jewelry_making,metalwork","Romania's flagship jewelry school guides you through saw-piercing, filing, soldering and finishing to produce a silver piece. Short modules and accredited tracks available in a boutique studio near the Jewish quarter.",Bucharest,București,44.4407,26.1177,180,420,all,indoor,medium,mixed,"creative,explorer,cozy","urban",provided,"solo,small-group","booking-required,lesson-recommended",low,all_weather,daytime,in-city,technique,$$$,,https://www.assamblage.org/,"Institute & gallery address public; frequent courses."
stained-glass-tiffany-bucharest,Stained Glass (Tiffany Technique) Workshop,creative,"stained_glass,glass_art","Cut, foil and solder colored glass to assemble a small sun-catcher or lamp panel. Learn safety, pattern transfer and patination in a guided, beginner-friendly course.",Bucharest,București,44.4350,26.1100,150,210,all,indoor,medium,beginner,"creative,focused,relaxed","urban",provided,"solo,small-group","booking-required,lesson-recommended",moderate,all_weather,daytime,in-city,technique,$$,,https://www.tiffany-art.ro/,"Also see Atelier Vitralii site for course details."
woodworking-intro-bucharest-nod,Intro to Woodworking (NOD Makerspace),creative,"woodworking,maker","Get hands-on with saws, planers and sanders to design and build a simple object under pro supervision. Safety briefing and materials provided in Bucharest's premier makerspace.",Bucharest,București,44.4160,26.1290,150,240,all,indoor,medium,beginner,"creative,explorer","urban",provided,"solo,small-group","booking-required,lesson-recommended",moderate,all_weather,daytime,in-city,technique,$$,,https://www.nodmakerspace.ro/,Address: Splaiul Unirii 160 (workshops vary)
cyanotype-screenprint-allkimik,Cyanotype & Screen Printing Lab (Allkimik),creative,"cyanotype,screen_printing","Expose botanical prints on light-sensitive paper or pull your own screen-printed tote. Friendly artists demo each step and share tips to continue at home.",Bucharest,București,44.4345,26.1030,120,150,all,indoor,low,beginner,"creative,cozy","urban",provided,"solo,small-group","booking-required,lesson-recommended",low,all_weather,daytime,in-city,technique,$$,,https://www.allkimik.ro/,"Live calendar & booking on site"
painting-class-art-hobby-bucharest,Painting & Drawing Class (Art & Hobby Studio),creative,"painting,watercolor","Guided acrylic or watercolor sessions cover composition, color mixing and brushwork. Choose one-off classes or short modules; all materials available on site.",Bucharest,București,44.4520,26.0980,120,180,all,indoor,low,beginner,"creative,cozy,relaxed","urban",provided,"solo,small-group","booking-required,lesson-recommended",low,all_weather,daytime,in-city,technique,$$,,https://www.artandhobbystudio.ro/ateliere,Multiple levels; central location
barista-essentials-origo-bucharest,Specialty Coffee Cupping & Barista Basics,culinary,"coffee_tasting,barista","Taste single-origin coffees, learn grind profiles, extraction and milk texturing, then pull your own espresso in a short barista primer led by specialty pros.",Bucharest,București,44.4330,26.1025,90,120,all,indoor,medium,beginner,"creative,explorer,cozy","urban",provided,"solo,small-group","booking-required,lesson-recommended",low,all_weather,daytime,in-city,technique,$$,,https://origocoffee.ro/,"Sessions announced on socials; call to book"
mixology-class-exquisite-bar-bucharest,Mixology & Cocktail Fundamentals (Exquisite Bar Solutions),culinary,"mixology,cocktail","Build balanced sours, stirred drinks and signatures while learning spirits, ice and bar tools from Romania's championship bartenders inside the historic Palatul Bragadiru.",Bucharest,București,44.4257,26.0834,120,180,all,indoor,medium,beginner,"social,creative","urban",provided,"friends,group,small-group","booking-required,lesson-recommended",low,all_weather,"evening,night",in-city,technique,$$,,https://barsolutions.ro/,"Address & phones on site; frequent cohorts"
sourdough-baking-bucharest-horeca,Sourdough & Pastry Fundamentals (Horeca Culinary School),culinary,"baking,patisserie","Hands-on modules in dough handling, lamination and natural leavening. Learn shaping, scoring and baking with pro ovens, then take recipes and starter home.",Bucharest,București,44.4440,26.1200,180,300,all,indoor,medium,beginner,"creative,cozy,explorer","urban",provided,"solo,small-group","booking-required,lesson-recommended",low,all_weather,daytime,in-city,technique,$$$,,https://horecaschool.ro/,"See 'Curs Patiserie & Pâine Artizanală' schedule"
