activity_slug,name,address,city,region,latitude,longitude,booking_url,website,phone,price_tier,seasonality,blurb,tags_equipment,tags_requirement,tags_context,tags_cost_band,opening_hours_monday,opening_hours_tuesday,opening_hours_wednesday,opening_hours_thursday,opening_hours_friday,opening_hours_saturday,opening_hours_sunday,source_url,notes
therme-bucharest-wellness-day,Therme București – Galaxy,"Calea Bucureștilor 1-3, Balotești 077015",București (Balotești),Ilfov,44.6165,26.0769,https://www.therme.ro/buy-tickets,https://www.therme.ro/,+40 31 100 3000,$$,all,"Family zone with wave pool and slides; ideal for kids, with food courts and loungers.",provided,booking-required,"family,group",$$,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,09:00-00:00,09:00-00:00,09:00-23:00,https://www.therme.ro/opening-hours,Facilities close 30 minutes earlier.
therme-bucharest-wellness-day,Therme București – The Palm & Elysium,"Calea Bucureștilor 1-3, Balotești 077015",București (Balotești),Ilfov,44.6165,26.0769,https://www.therme.ro/buy-tickets,https://www.therme.ro/,+40 31 100 3000,$$,all,"Adults-only wellness areas with mineral pools, themed saunas, Aufguss rituals and spa treatments.",provided,booking-required,"date,small-group",$$,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,09:00-00:00,09:00-00:00,09:00-23:00,https://www.therme.ro/opening-hours,
peles-castle-guided-tour-sinaia,Peleș Castle – Official Museum,"Aleea Peleșului 2, Sinaia 106100",Sinaia,Prahova,45.3597,25.5426,https://bilete.peles.ro/en/,https://peles.ro/en/,+40 244 310 918,$,all,Neo-Renaissance royal residence with ornate interiors; guided tours in multiple languages.,camera,booking-recommended,"group,small-group",$,closed,closed,10:00-17:00,09:15-17:00,09:15-17:00,09:15-17:00,09:15-17:00,https://peles.ro/en/program-si-taxe/,Last entry earlier; seasonal closures posted on site.
peles-castle-guided-tour-sinaia,Pelișor Castle (Annex Museum),Aleea Peleșului,Sinaia,Prahova,45.3608,25.546,https://bilete.peles.ro/en/,https://peles.ro/en/,+40 244 310 918,$,all,Art Nouveau residence of Queen Marie; smaller but richly decorated interiors.,camera,booking-recommended,"group,small-group",$,closed,closed,10:00-17:00,09:15-17:00,09:15-17:00,09:15-17:00,09:15-17:00,https://pelescastle.ro/pelisor-castle-tickets/,
bran-castle-visit-transylvania,Bran Castle – Official,"Str. General Traian Moșoiu 24, Bran 507025",Bran,Brașov,45.5156,25.3675,https://www.bran-castle.com/en/program-tickets/,https://www.bran-castle.com/en/,+40 268 237 700,$,all,Medieval hilltop fortress linked to the Dracula legend; exhibits on Queen Marie.,camera,booking-optional,"family,group",$,12:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,https://www.bran-castle.com/en/program-tickets/,Winter last admission earlier.
brasov-old-town-walking-tour,Walkabout Free Tours – Brașov,Piața Sfatului (Council Square) meeting point,Brașov,Brașov,45.6423,25.5887,https://brasov.walkaboutfreetours.com/,https://brasov.walkaboutfreetours.com/,,$,all,Daily tip-based walking tours led by licensed local guides covering Brașov's medieval core.,camera,booking-optional,"group,solo,small-group",$,varies,varies,varies,varies,varies,varies,varies,https://brasov.walkaboutfreetours.com/,Check site for start times.
brasov-old-town-walking-tour,Tour Guide Brașov (Private Guide),Pickup in Brașov old town,Brașov,Brașov,45.6417,25.5887,https://tourguidebrasov.ro/,https://tourguidebrasov.ro/,+40 ,$$,all,Authorized local guide offering customizable city and castle day tours.,camera,booking-required,"small-group,date",$$,by_appointment,by_appointment,by_appointment,by_appointment,by_appointment,by_appointment,by_appointment,https://tourguidebrasov.ro/,
poiana-brasov-skiing,R&J Ski School Poiana Brașov,"Str. Fântânița Călugărului 3, Poiana Brașov",Poiana Brașov,Brașov,45.5955,25.548,https://skischool-poianabrasov.ro/,https://skischool-poianabrasov.ro/,+40 745 526 526,$$,winter,Established ski & snowboard school with rentals and private/group lessons near main lifts.,"rental-gear,helmet,provided,skis","lesson-recommended,booking-required","family,group,friends",$$,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,https://skischool-poianabrasov.ro/contact-ski-school-ski-rental-shop-in-poiana-brasov/,
poiana-brasov-skiing,Interski Romania – Poiana Brașov,"Str. Drumul Sulinar 1, Poiana Brașov",Poiana Brașov,Brașov,45.591,25.557,https://interski-romania.ro/,https://interski-romania.ro/,+40 749 100 700,$$,winter,Kids and adult lessons with certified instructors; rentals and convenient base near slopes.,"rental-gear,helmet,provided,skis","lesson-recommended,booking-required","family,group,friends",$$,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,https://ski-instructor-poiana-brasov.ro/?lang=en,
danube-delta-boat-safari-tulcea,Discover Danube Delta – Tulcea Office,"Intrarea Marmurei 3, Port Aval, Tulcea",Tulcea,Tulcea,45.177,28.806,https://www.discoverdanubedelta.com/,https://www.discoverdanubedelta.com/contact/,+40 757 894 456,$$,summer,"Licensed operator offering small-boat wildlife trips, photo tours and multi-day programs.","provided,camera","booking-required,guide-required","small-group,family",$$,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,closed,closed,https://www.discoverdanubedelta.com/contact/,Hours for office; tours run daily in season.
danube-delta-boat-safari-tulcea,SAFCA Delta Tours,Port Tulcea (pick-up varies),Tulcea,Tulcea,45.171,28.805,https://safcadeltatours.ro/en/tag/danube-delta-tours-articol-en/,https://safcadeltatours.ro/,+40 730 544 444,$$,summer,Group and private Danube Delta tours with daily departures Apr–Sep; local skippers.,"provided,camera","booking-required,guide-required","small-group,family",$$,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-13:00,closed,https://safcadeltatours.ro/en/tag/danube-delta-tours-articol-en/,
