slug,name,category,subtypes,description,city,region,latitude,longitude,duration_min,duration_max,seasonality,indoor_outdoor,energy_level,tags_experience_level,tags_mood,tags_terrain,tags_equipment,tags_context,tags_requirement,tags_risk_level,tags_weather_fit,tags_time_of_day,tags_travel_time_band,tags_skills,tags_cost_band,hero_image_url,source_url,notes
therme-bucharest-wellness-day,Therme București Wellness Day,wellness,"thermal_spa,sauna,wellness,waterpark","Float in mineral pools, try themed saunas and Aufguss rituals, and lounge under tropical palms at Europe's largest thermal complex. Three zones—Galaxy, The Palm, and Elysium—offer something for families and adults-only relaxation. Prebook online, bring swimwear, and plan for at least half a day to sample pools, slides and spa treatments.",Bucharest,București-Ilfov,44.6165,26.0769,180,480,all,either,medium,beginner,"relaxed,cozy,romantic","urban,resort","provided,camera","date,small-group,family,friends","booking-required,none",low,all_weather,"daytime,night,any","in-city,nearby",none_required,$$,https://www.therme.ro/,https://www.therme.ro/opening-hours,Hours listed by zone; buy tickets via myTherme app or site.
peles-castle-guided-tour-sinaia,Peleș Castle Guided Visit,culture,"castle,museum,guided_tour","Explore Romania's royal summer residence, a Neo-Renaissance jewel with ornate interiors, armory, and art collections. Join a guided tour to access multiple floors and learn about King Carol I. Check seasonal hours—castle is closed Mondays and Tuesdays most of the year.",Sinaia,Prahova,45.3597,25.5426,60,120,all,indoor,chill,beginner,"creative,explorer","mountain,urban,hill",camera,"small-group,family,group,date","booking-recommended,guide-optional",low,"ok_in_rain,cold_friendly,all_weather",daytime,"day-trip,nearby",none_required,$,https://peles.ro/en/,https://peles.ro/en/program-si-taxe/,Official contact +40 244 310 918; tickets via bilete.peles.ro
bran-castle-visit-transylvania,Bran Castle (Dracula's Castle) Visit,culture,"castle,history,museum","Wander the corridors and courtyards of the 14th-century Bran Castle, famous for its Dracula legend and royal collection. Expect narrow stairways, views of the surrounding hills, and seasonal events. Mondays open later; last admission varies by season.",Bran,Brașov,45.5156,25.3675,60,120,all,either,medium,beginner,"explorer,adventurous","mountain,hill,urban",camera,"family,group,small-group,friends","booking-optional,none",low,all_weather,"daytime,night","day-trip,nearby",none_required,$,https://www.bran-castle.com/,https://www.bran-castle.com/en/program-tickets/,Official phone +40 268 237 700.
brasov-old-town-walking-tour,Brașov Old Town Walking Tour,culture,"walking_tour,city_tour,history","Stroll medieval Brașov with a local guide: Council Square, Black Church, Rope Street, and old city walls. Hear tales of Saxon merchants and Dracula legends while discovering viewpoints and photo spots around the citadel.",Brașov,Brașov,45.6417,25.5887,120,150,all,outdoor,medium,beginner,"explorer,social","urban,hill",camera,"small-group,group,solo,friends","guide-recommended,booking-optional",low,"ok_in_rain,cold_friendly,heat_sensitive","daytime,sunset,night","in-city,nearby",none_required,$,https://brasov.walkaboutfreetours.com/,https://brasov.walkaboutfreetours.com/,Also available via GetYourGuide.
poiana-brasov-skiing,Skiing in Poiana Brașov,sports,"skiing,snowboarding,lessons","Romania's top ski resort offers groomed pistes on Postăvaru Mountain, modern lifts, and multiple ski schools. Book lessons and rentals in the resort and plan around lift pass options. Great for beginners through intermediates.",Poiana Brașov,Brașov,45.595,25.551,180,480,winter,outdoor,high,mixed,"adventurous,explorer","mountain,forest,resort,hill","rental-gear,helmet,skis,provided","friends,group,family,small-group","lesson-recommended,booking-recommended",moderate,"cold_friendly,wind_sensitive",daytime,"day-trip,nearby","balance,technique,endurance",$$,https://www.discoverpoiana.ro/en/lift-pass,https://www.discoverpoiana.ro/en/lift-pass,Multiple ski schools incl. R&J and Interski.
danube-delta-boat-safari-tulcea,Danube Delta Boat Safari from Tulcea,nature,"boat_tour,wildlife,birdwatching","Glide through narrow channels and lakes with a licensed skipper to spot pelicans, herons, and reed islands in Europe's largest wetland. Depart from Tulcea's Port Aval; choose group or private itineraries between April and October.",Tulcea,Tulcea,45.177,28.806,180,480,summer,outdoor,medium,beginner,"explorer,relaxed,adventurous","delta,lake,coast","provided,camera","small-group,family,friends","booking-required,guide-required",low,"wind_sensitive,heat_sensitive","daytime,sunrise,sunset","day-trip,overnight","none_required,navigation",$$,https://www.discoverdanubedelta.com/,https://www.discoverdanubedelta.com/,"Office: 3 Intrarea Marmurei, Tulcea."
dealu-mare-wine-tasting,Wine Tasting in Dealu Mare,culinary,"wine_tasting,vineyard,cellar_tour","Meet winemakers in Romania's flagship red-wine region. Tour vineyards and cellars before guided tastings of Fetească Neagră, Merlot, and blends. Several estates welcome visitors by appointment and offer terrace tastings with valley views.",Dealu Mare,Prahova,45.05,26.01,120,180,all,either,chill,beginner,"romantic,relaxed,creative","valley,hill,resort","provided,camera","date,small-group,friends","booking-required,guide-optional",low,all_weather,"daytime,sunset",day-trip,none_required,$$,https://www.lacertawinery.ro/,https://www.lacertawinery.ro/,Also Budureasca and SERVE offer visits by booking.
transfagarasan-scenic-day-tour,Transfăgărășan Scenic Day Tour,adventure,"scenic_drive,road_trip,photography","Ride Romania's legendary alpine road past viaducts, tunnels and glacial lakes. Most tours run seasonally when the high pass is open, with stops at Bâlea Lake and viewpoints for photos. Weather can change quickly at altitude.",Sibiu,Sibiu,45.609,24.615,480,720,summer,either,medium,beginner,"explorer,adventurous","mountain,valley,resort",camera,"group,small-group,friends","booking-required,guide-optional",moderate,"wind_sensitive,cold_friendly,heat_sensitive",daytime,day-trip,navigation,$$,,https://www.getyourguide.com/s/?q=transfagarasan%20tour%20Sibiu,Seasonal closures typically Nov–Jun at high pass.
turda-salt-mine-tour,Turda Salt Mine Underground Park,culture,"mine,underground,attraction","Descend 120 meters into spectacular salt chambers with a subterranean lake, Ferris wheel, and family attractions. Book tickets online or on-site; allocate 1.5–2 hours and dress for cool underground temperatures year-round.",Turda,Cluj,46.5875,23.7874,90,150,all,indoor,medium,beginner,"explorer,creative","cave,urban",camera,"family,small-group,friends","booking-optional,none",low,all_weather,daytime,day-trip,none_required,$,https://www.salinaturda.eu/en/,https://www.salinaturda.eu/en/schedule-and-fees/,Official phone +40 364 260 940.
village-museum-bucharest,Dimitrie Gusti National Village Museum,culture,"open_air_museum,walking_tour","An open-air museum showcasing traditional rural architecture from all regions of Romania—wooden churches, farmhouses, mills, and workshops set in leafy Herăstrău Park. Spend 1–2 hours strolling and photographing historic homesteads.",Bucharest,Bucharest,44.4739,26.0799,60,120,all,either,chill,beginner,"explorer,relaxed,creative","urban,park",camera,"family,small-group,solo","none,booking-optional",low,"ok_in_rain,heat_sensitive,cold_friendly",daytime,in-city,none_required,$,https://muzeul-satului.ro/en/,https://muzeul-satului.ro/en/acces-muzeu/bilete/,Official phone +40 21 317 9103.
bucovina-painted-monasteries-tour,Bucovina Painted Monasteries Tour,culture,"guided_tour,unesco,churches","Visit UNESCO-listed monasteries like Voroneț, Humor, Moldovița and Sucevița on a guided circuit from Suceava or Gura Humorului. See famed exterior frescoes—including the 'Voroneț blue'—and learn about Moldavian history and iconography.",Suceava,Suceava,47.651,26.255,360,540,all,either,medium,beginner,"explorer,mindful,romantic","hill,forest,urban,valley",camera,"small-group,group,family","booking-required,guide-required",low,"ok_in_rain,cold_friendly",daytime,day-trip,none_required,$$,https://hellobucovina.com/web/,https://hellobucovina.com/web/,Monastery contact: Voroneț +40 230 235 323.
bear-watching-hide-brasov,Bear Watching from a Hide (Brașov),nature,"wildlife,hide,photography",Head into the forests near Brașov to observe wild brown bears from a secure hide with a ranger. Tours typically last 2–4 hours in late afternoon and run March–November. Silence and dark clothing recommended; sightings not guaranteed.,Brașov,Brașov,45.65,25.55,120,240,shoulder,outdoor,medium,beginner,"adventurous,explorer,mindful","forest,mountain,hill",camera,"small-group,friends","booking-required,guide-required",exposed,"wind_sensitive,cold_friendly","sunset,evening","nearby,day-trip",none_required,$$,https://bearwatching.ro/,https://bearwatching.ro/,"Operators include Transylvanian Wolf, Observator de Urși."
