# BATCH 2: Activities 51-100
# Total: 48 activities

51. Romanian Language Crash Course (Bucharest) - Bucharest, București - learning
52. Specialty Coffee Brewing Class (Bucharest) - Bucharest, București - learning
53. Barista Basics Workshop (Cluj) - Cluj-Napoca, Cluj - learning
54. Sibiu Traditional Cooking Class - Sibiu, Sibiu - learning
55. Intro to Romanian Wine (Bucharest) - Bucharest, București - learning
56. Sound Bath & Breathwork (Bucharest) - Bucharest, București - mindfulness
57. Halotherapy & Mindful Walk – Turda Salt Mine - Turda, Cluj - mindfulness
58. Salt Mine Wellness Session – Praid - Praid, Harghita - mindfulness
59. Therme Sauna Rituals & Mindful Heat - Balotești, Ilfov - mindfulness
60. Ana Aslan Health Spa Day – Eforie Nord - Eforie Nord, Constanța - wellness
61. Aqvatonic Med Spa Pass – Eforie Nord - Eforie Nord, Constanța - wellness
62. Leaota Mountain Horseback Trail Ride - Runcu, Dâmbovița - nature
63. Bucegi Plateau Hike: Babele & Sphinx - Bușteni, Prahova - nature
64. Scărișoara Ice Cave & Apuseni Views - Gârda de Sus, Alba - nature
65. Cheile Turzii Gorge Guided Hike - Tureni, Cluj - nature
66. Retezat National Park Day Hike - Nucșoara, Hunedoara - nature
67. Viscri Pastures Bike & Haystack Walk - Viscri, Brașov - nature
68. Board Game Night in Bucharest Old Town - Bucharest, București - social
69. Pub Quiz Night in the Old Town (Mojo & The PUB) - Bucharest, București - social
70. Escape Room Marathon (Central Bucharest) - Bucharest, București - social
71. Bucharest Language Exchange Social - Bucharest, București - social
72. NOR Sky Rooftop Dinner for Two - Bucharest, București - romance
73. Rooftop Cocktails at Linea/Closer to the Moon - Bucharest, București - romance
74. Private Boat Ride on Herăstrău Lake - Bucharest, București - romance
75. Private Snagov Lake Boat Cruise - Snagov, Ilfov - romance
76. Couples' Photoshoot in Old Town - Bucharest, București - romance
77. Edenland Park Zipline & Aerial Courses - Balotești, Ilfov - adventure
78. Comana Adventure Park & Kayak - Comana, Giurgiu - adventure
79. Tandem Skydiving at Clinceni Airfield - Clinceni, Ilfov - adventure
80. Squash Session & Coaching (Central-East) - Bucharest, București - sports
81. Badminton Courts & Group Play (Sun Plaza) - Bucharest, București - sports
82. Ice Skating Session (AFI Cotroceni) - Bucharest, București - sports
83. Beginner Archery Class (Sector 5 Range) - Bucharest, București - sports
84. Karaoke Night at Mojo Music Club - Bucharest, București - social
85. Fun Bowling & Billiards at Trickshot - Bucharest, București - social
86. Free-Roam VR Arena & Escape Games (Gateway VR) - Bucharest, București - social
87. Immersive Escape Room Adventure - Bucharest, București - social
88. Romantic Candlelight Concert (Fever) - Bucharest, București - romance
89. Stargazing at Vasile Urseanu Observatory - Bucharest, București - romance
90. Boat Ride on Herăstrău Lake - Bucharest, București - romance
91. Go-Karting: VMAX (Indoor) or AMCKart (Outdoor) - Bucharest, București - adventure
92. Indoor Climbing Session (Top-rope & Bouldering) - Bucharest, București - adventure
93. Laser Tag Battles - Bucharest, București - sports
94. Padel Court Booking (Romexpo Area) - Bucharest, București - sports
95. 5-a-Side Football Pitch Hire (South) - Bucharest, București - sports
98. Contemporary Jewelry Making (Assamblage Institute) - Bucharest, București - creative
99. Stained Glass (Tiffany Technique) Workshop - Bucharest, București - creative
100. Intro to Woodworking (NOD Makerspace) - Bucharest, București - creative
